soc_delta,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
-0.515,0.001,0.46499999999999997,-51.65289433543285,335.43079091083604,-51.65289433543285,331.4299232082728,-2.0281388031720143e-13
-0.51,0.001,0.47,-49.49554344271851,334.00964257841656,-49.49554344271851,330.32201336676235,1.3520925354480096e-13
-0.505,0.001,0.475,-47.37292184598217,332.62848723226216,-47.37292184598217,329.23778154124057,-2.1247168414183007e-13
-0.5,0.001,0.48,-44.81187197911495,330.61672383021744,-44.81187197911495,327.56574028117427,-9.657803824628639e-14
-0.495,0.001,0.485,-41.967618192915154,328.3108696619943,-41.967618192915154,325.61748442218015,1.9315607649257278e-14
-0.49,0.001,0.49,-39.36312843328149,326.35636765000464,-39.36312843328149,323.9737995975137,1.0623584207091504e-13
-0.485,0.001,0.495,-36.89467638980881,324.61403885319567,-36.89467638980881,322.5105534314735,0.0
-0.48,0.001,0.5,-34.519335771221755,322.9792168798425,-34.519335771221755,321.12924188592666,1.6418266501868687e-13
-0.475,0.001,0.505,-32.17737409047065,321.39360529754316,-32.17737409047065,319.7787768486128,-1.448670573694296e-13
-0.47,0.001,0.51,-29.97725933043354,319.9320554316828,-29.97725933043354,318.52454225032216,1.7384046884331552e-13
-0.465,0.001,0.5149999999999999,-27.839998929984322,318.53269869933473,-27.839998929984322,317.31374789041143,-8.692023442165776e-14
-0.46,0.001,0.52,-25.351969271239152,316.62539983826053,-25.351969271239152,315.60881083519917,-2.3178729179108734e-13
-0.455,0.001,0.5249999999999999,-22.489698079518142,314.294088637176,-22.489698079518142,313.48841706284014,-1.9315607649257278e-13
-0.45,0.001,0.53,-19.830838463402966,312.29016747580664,-19.830838463402966,311.65988921884986,-1.9315607649257278e-14
-0.445,0.001,0.5349999999999999,-17.351623130686473,310.5499368412967,-17.351623130686473,310.0648068498972,-2.0281388031720143e-13
-0.44,0.001,0.54,-14.9530604543868,308.916090794699,-14.9530604543868,308.5539776682941,-2.221294879664587e-13
-0.435,0.001,0.5449999999999999,-12.601743005014539,307.34314958258625,-12.601743005014539,307.08469136148665,-3.8631215298514557e-14
-0.43,0.001,0.55,-10.369702098775292,305.88885370431507,-10.369702098775292,305.7130355397403,1.0140694015860071e-13
-0.425,0.001,0.5549999999999999,-8.224815831957656,304.5128871767453,-8.224815831957656,304.4017918167494,1.20722547807858e-13
-0.42,0.001,0.56,-5.813367637985707,302.7487009262218,-5.813367637985707,302.6928817617297,-5.794682294777183e-14
-0.415,0.001,0.565,-2.940723602094325,300.41976432654894,-2.940723602094325,300.40537102840767,8.209133250934344e-14
-0.41,0.001,0.5700000000000001,-0.23343382631633583,298.39002714746914,-0.23343382631633583,298.38993583852005,0.0
-0.405,0.001,0.575,2.2543464448209365,296.6727150990778,2.2543464448209365,296.66414985023937,-1.1589364589554367e-13
-0.4,0.001,0.58,4.677331192368025,295.05479565308127,4.677331192368025,295.01771982509536,-2.0764278222951574e-13
-0.395,0.001,0.585,7.035574970639244,293.5057024798577,7.035574970639244,293.4213660813187,0.0
-0.39,0.001,0.59,9.297668093968518,292.06282798045254,9.297668093968518,291.91479725418816,-1.9315607649257278e-13
-0.385,0.001,0.595,11.444980177140724,290.7167402709175,11.444980177140724,290.49136906712556,-8.692023442165776e-14
-0.38,0.001,0.6,13.775732498018868,289.10040741755614,13.775732498018868,288.77201173787597,-1.3038035163248663e-13
-0.375,0.001,0.605,16.65821533084582,286.7674574949549,16.65821533084582,286.28321386367026,1.7866937075562983e-13
-0.37,0.001,0.61,19.41311279904606,284.70681593559146,19.41311279904606,284.0441903852889,-1.6418266501868687e-13
-0.365,0.001,0.615,21.915414887255082,282.9997711083999,21.915414887255082,282.1499336128332,-6.760462677240048e-14
-0.36,0.001,0.62,24.35996203677359,281.40085471880855,24.35996203677359,280.34449037932416,2.221294879664587e-13
-0.355,0.001,0.625,26.720661619047764,279.8806369063707,26.720661619047764,278.60218440951974,1.20722547807858e-13
-0.35,0.001,0.63,29.01593323191926,278.448269069614,29.01593323191926,276.93232777439505,1.7384046884331552e-13
-0.345,0.001,0.635,31.16739290298728,277.1353646369938,31.16739290298728,275.37720303632676,-1.5452486119405823e-13
-0.34,0.001,0.6399999999999999,33.42363179011238,275.6735137582193,33.42363179011238,273.63981257441714,1.6418266501868687e-13
-0.335,0.001,0.645,36.309887591551984,273.36243013060823,36.309887591551984,270.94023376014223,3.8631215298514557e-14
-0.33,0.001,0.6499999999999999,39.11500601545295,271.2867844454098,39.11500601545295,268.45211066248174,1.2555144972017232e-13
-0.325,0.001,0.655,41.63075617350911,269.61390413004654,41.63075617350911,266.380437421121,-1.0623584207091504e-13
-0.32,0.001,0.6599999999999999,44.101957876333046,268.0549053310569,44.101957876333046,264.4020604751711,1.8349827266794416e-13
-0.315,0.001,0.665,46.46688538555086,266.59625218535047,46.46688538555086,262.515504764654,7.726243059702911e-14
-0.31,0.001,0.6699999999999999,48.79367022706113,265.2149243424742,48.79367022706113,260.6878091506335,-1.5452486119405823e-13
-0.305,0.001,0.675,50.95557491255508,263.96742415755847,50.95557491255508,259.0025683303302,7.726243059702911e-14
-0.3,0.001,0.6799999999999999,53.14101230718493,262.70008425491824,53.14101230718493,257.26905581221536,2.897341147388592e-14
-0.295,0.001,0.685,56.027837525898484,260.4761949645322,56.027837525898484,254.3791059921638,-2.0281388031720143e-13
-0.29,0.001,0.69,58.8868557272565,258.4405983661182,58.8868557272565,251.64236747096962,1.3520925354480096e-13
-0.285,0.001,0.6950000000000001,61.42299958450063,256.8464698365023,61.42299958450063,249.39391369782007,-1.7384046884331552e-13
-0.28,0.001,0.7,63.92521496368325,255.37186935818858,63.92521496368325,247.24149844098304,1.5452486119405823e-13
-0.275,0.001,0.705,66.30135331783853,254.016170572788,66.30135331783853,245.21081840058952,-2.1247168414183007e-13
-0.27,0.001,0.71,68.66758529114142,252.7303583058919,68.66758529114142,243.22293629447924,6.760462677240048e-14
-0.265,0.001,0.715,70.85062150266187,251.59912327069384,70.85062150266187,241.41729072969966,0.0
-0.26,0.001,0.72,73.03202979854764,250.52028187787602,73.03202979854764,239.6387578328566,5.794682294777183e-14
-0.255,0.001,0.725,75.87773819652443,248.72946980532438,75.87773819652443,236.87321080235614,-8.692023442165776e-14
-0.25,0.001,0.73,78.78294616616043,247.08001357478562,78.78294616616043,234.18321994006342,-1.9315607649257278e-14
-0.245,0.001,0.735,81.37009893231344,245.85205418628567,81.37009893231344,231.99599036914807,-1.9315607649257278e-13
-0.24,0.001,0.74,83.91230109438274,244.80872945706338,83.91230109438274,229.97834624900506,-5.794682294777183e-14
-0.235,0.001,0.745,86.32153528486455,243.94615338032528,86.32153528486455,228.16292050883524,-2.0281388031720143e-13
-0.23,0.001,0.75,88.732650533349,243.22104662918343,88.732650533349,226.45748884221499,-3.8631215298514557e-14
