s0,q_assumed_ah,soc_min,soc_max,score_bias_offset_mv,rmse_no_bias_mv,bias_no_bias_mv,rmse_with_score_bias_mv,bias_with_score_bias_mv
0.56,1.65,0.001,0.56,-83.16819501479199,361.10776163237847,-83.16819501479199,351.399867457471,9.657803824628639e-15
0.57,1.65,0.001,0.57,-80.12909835904601,359.2015908956632,-80.12909835904601,350.1501256577551,1.0623584207091504e-13
0.58,1.65,0.001,0.58,-77.26973075567628,357.4925494425346,-77.26973075567628,349.04199119284823,-6.760462677240048e-14
0.59,1.65,0.001,0.59,-74.42947705481524,355.71840631641595,-74.42947705481524,347.84455944809247,-1.9315607649257278e-13
0.6,1.65,0.001,0.6,-70.29038599772484,352.33143677497543,-70.29038599772484,345.2487552131207,-9.657803824628639e-15
0.61,1.65,0.001,0.61,-66.84199642267978,349.8718504860296,-66.84199642267978,343.4275167728252,-1.448670573694296e-13
0.62,1.65,0.001,0.62,-63.71576616238426,347.85320486146946,-63.71576616238426,341.96805885160654,1.2555144972017232e-13
0.63,1.65,0.001,0.63,-60.646210848692455,345.89053575901954,-60.646210848692455,340.53237707647935,1.9315607649257278e-14
0.64,1.65,0.001,0.64,-57.748028176691555,344.12091123670564,-57.748028176691555,339.24086839896603,-4.8289019123143196e-14
0.65,1.65,0.001,0.65,-54.995497749179435,342.4639443590643,-54.995497749179435,338.01930183539565,1.0623584207091504e-13
0.66,1.65,0.001,0.66,-50.88840024369435,339.0221347789899,-50.88840024369435,335.18111311758173,-1.2555144972017232e-13
0.67,1.65,0.001,0.67,-47.35273112858753,336.38886513630325,-47.35273112858753,333.0393181628165,-9.657803824628639e-15
0.68,1.65,0.001,0.68,-44.178155036741465,334.27498675542347,-44.178155036741465,331.34280947062695,-2.0281388031720143e-13
0.69,1.65,0.001,0.69,-41.08312475006657,332.2564026458979,-41.08312475006657,329.70667867054726,1.5452486119405823e-13
0.7,1.65,0.001,0.7,-38.141378249217034,330.4169161289379,-38.141378249217034,328.20812562977125,-2.221294879664587e-13
0.71,1.65,0.001,0.71,-35.337947053617874,328.7007056944793,-35.337947053617874,326.7956294415279,4.8289019123143196e-14
0.72,1.65,0.001,0.72,-31.43059797499749,325.4444750944289,-31.43059797499749,323.9231758927145,-1.5452486119405823e-13
0.73,1.65,0.001,0.73,-27.762553970206817,322.59718542661415,-27.762553970206817,321.4003494743349,-1.6418266501868687e-13
0.74,1.65,0.001,0.74,-24.49880248938293,320.3677730712419,-24.49880248938293,319.4296772361845,-6.760462677240048e-14
0.75,1.65,0.001,0.75,-21.35314128600519,318.3021434268284,-21.35314128600519,317.58510334606876,-1.1589364589554367e-13
0.76,1.65,0.001,0.76,-18.34242606301095,316.4053485312856,-18.34242606301095,315.8732340438602,-2.221294879664587e-13
0.77,1.65,0.001,0.77,-15.474088675169515,314.65785537143637,-15.474088675169515,314.27713649997634,1.448670573694296e-13
0.78,1.65,0.001,0.78,-11.745054255497815,311.6775794455809,-11.745054255497815,311.4562043523805,-5.794682294777183e-14
0.79,1.65,0.001,0.79,-7.922556230442601,308.697162295317,-7.922556230442601,308.59548135375667,2.0281388031720143e-13
0.8,1.65,0.001,0.8,-4.573810768641044,306.4370147905961,-4.573810768641044,306.40287904787175,-2.0764278222951574e-13
0.81,1.65,0.001,0.81,-1.3748999834283249,304.3977148113431,-1.3748999834283249,304.39460972954726,1.20722547807858e-13
0.82,1.65,0.001,0.82,1.7125859349027421,302.51174919238525,1.7125859349027421,302.5069014896225,-4.346011721082888e-14
0.83,1.65,0.001,0.83,4.655619396891618,300.7970003917817,4.655619396891618,300.760969297422,-4.8289019123143196e-14
0.84,1.65,0.001,0.84,8.246170839795932,298.1246030232694,8.246170839795932,298.0105360457291,6.760462677240048e-14
0.85,1.65,0.001,0.85,12.279383222535277,295.0089534285082,12.279383222535277,294.7532855638048,-1.3520925354480096e-13
0.86,1.65,0.001,0.86,15.800750632097047,292.7045865799649,15.800750632097047,292.2777981380222,7.726243059702911e-14
0.87,1.65,0.001,0.87,19.161643811115642,290.6806252986386,19.161643811115642,290.048370673692,1.1589364589554367e-13
0.88,1.65,0.001,0.88,22.439433716373603,288.7770236663451,22.439433716373603,287.9038749514867,-2.0281388031720143e-13
0.89,1.65,0.001,0.89,25.527770854880632,287.0816705675559,25.527770854880632,285.9444325232428,-4.8289019123143196e-14
0.9,1.65,0.001,0.9,29.004626009729353,284.73750094249027,29.004626009729353,283.2563787684408,-5.311792103545752e-14
0.91,1.65,0.001,0.91,33.24618056765437,281.4680786028603,33.24618056765437,279.49771152918026,7.726243059702911e-14
0.92,1.65,0.001,0.92,36.88865525763846,279.1151118858295,36.88865525763846,276.6667179049952,-1.6418266501868687e-13
0.93,1.65,0.001,0.93,40.296440824751464,277.13775114610496,40.296440824751464,274.19250530818243,-9.657803824628639e-15
0.94,1.65,0.001,0.94,43.64476578869989,275.2495177531366,43.64476578869989,271.76723761812013,-1.3520925354480096e-13
0.95,1.65,0.001,0.95,46.786785242571455,273.5922035623757,46.786785242571455,269.5620347467015,4.8289019123143196e-14
0.96,1.65,0.001,0.96,50.05741328831758,271.6392908080132,50.05741328831758,266.9871901151119,4.8289019123143196e-15
0.97,1.65,0.001,0.97,54.43663144917003,268.2592761466499,54.43663144917003,262.67792521487564,-2.0281388031720143e-13
0.98,1.65,0.001,0.98,58.16334930867188,265.89403466151634,58.16334930867188,259.45454797666787,1.3520925354480096e-13
0.99,1.65,0.001,0.99,61.60685793641559,263.99938625554705,61.60685793641559,256.7104808894795,6.760462677240048e-14
0.2,1.7,0.001,0.2,-188.03299097223388,434.910071317113,-188.03299097223388,392.1611460089999,-7.726243059702911e-14
0.21,1.7,0.001,0.21,-185.89563595258707,433.43227948225064,-185.89563595258707,391.5435524063231,-7.726243059702911e-14
0.22,1.7,0.001,0.22,-182.88836651092583,430.99010972139354,-182.88836651092583,390.2618608993506,-1.9315607649257278e-14
0.23,1.7,0.001,0.23,-179.63160461776334,428.3678830573559,-179.63160461776334,388.88498281302674,2.1247168414183007e-13
0.24,1.7,0.001,0.24,-176.95054400240977,426.3914045895958,-176.95054400240977,387.9408909681211,1.7384046884331552e-13
0.25,1.7,0.001,0.25,-174.4334355172144,424.5974308754404,-174.4334355172144,387.11232850386745,-3.8631215298514557e-14
0.26,1.7,0.001,0.26,-172.01402873406164,422.9226887542917,-172.01402873406164,386.36093821948003,3.8631215298514557e-14
0.27,1.7,0.001,0.27,-169.71582486989337,421.37517240787105,-169.71582486989337,385.6858497670024,1.9315607649257278e-14
0.28,1.7,0.001,0.28,-166.57699845386924,418.8279746820002,-166.57699845386924,384.27721239012584,2.1247168414183007e-13
0.29,1.7,0.001,0.29,-163.25574917727664,416.16743326247706,-163.25574917727664,382.80921210028947,-7.726243059702911e-14
0.3,1.7,0.001,0.3,-160.43645622799073,414.1274960370402,-160.43645622799073,381.7875410315438,0.0
0.31,1.7,0.001,0.31,-157.72417448267703,412.25181397410836,-157.72417448267703,380.8866536237532,1.5452486119405823e-13
0.32,1.7,0.001,0.32,-155.11228089234328,410.50208268704057,-155.11228089234328,380.0685993432931,-1.9315607649257278e-13
0.33,1.7,0.001,0.33,-152.63094662063241,408.88594227400426,-152.63094662063241,379.33034142155043,-1.9315607649257278e-14
0.34,1.7,0.001,0.34,-149.26588849515406,406.22100159101205,-149.26588849515406,377.80311891957336,1.9315607649257278e-14
0.35,1.7,0.001,0.35,-145.7732597967627,403.52045098383877,-145.7732597967627,376.26973182867926,3.8631215298514557e-14
0.36,1.7,0.001,0.36,-142.76861179715436,401.4355737316986,-142.76861179715436,375.19014291797623,1.5452486119405823e-13
0.37,1.7,0.001,0.37,-139.8764116870803,399.5164002505843,-139.8764116870803,374.2298004204523,-1.9315607649257278e-13
0.38,1.7,0.001,0.38,-137.10444896454808,397.7379252537612,-137.10444896454808,373.3601843519126,1.9315607649257278e-14
0.39,1.7,0.001,0.39,-134.47322105920188,396.0958866796658,-134.47322105920188,372.5706701587145,1.9315607649257278e-14
0.4,1.7,0.001,0.4,-130.9182657016463,393.346021647935,-130.9182657016463,370.9198032620137,5.794682294777183e-14
0.41,1.7,0.001,0.41,-127.31694519701672,390.64616637230483,-127.31694519701672,369.31669711384336,-3.8631215298514557e-14
0.42,1.7,0.001,0.42,-124.20491413475638,388.5543566118921,-124.20491413475638,368.16793362113873,1.7384046884331552e-13
0.43,1.7,0.001,0.43,-121.20844949354917,386.6222960641196,-121.20844949354917,367.13119124539327,9.657803824628639e-14
0.44,1.7,0.001,0.44,-118.3334104771764,384.833676808124,-118.3334104771764,366.18869831072027,9.657803824628639e-14
