model,split,n_score,r0_min_ohm,r0_max_ohm,r0_negative_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_dense,validation_temperature,186800,-0.08699427978046687,0.2197856083389461,0.13846895074946466,70.10975768016701,45.72254614495439,417.0255675494734,-2.596918024684529,0.4164363038369295
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.01,test_cell_transfer,47086,-0.07963552161406673,0.01910668069574238,0.5409463534808648,436.48736399262316,243.99973084758267,1305.9479540129669,234.9419581157925,1.0953421882599923
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.01,test_high_amplitude,39460,-0.07963552161406673,0.026109916095150208,0.5968575772934618,22.036054694342173,14.043882876111665,261.43831964685836,0.538493644913014,0.4889263189173194
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.01,train,263165,-0.09048770290797051,0.31095806411599275,0.2144130108487071,40.78750045288916,21.976750029159167,365.5299792163107,0.2830853407837626,0.20118412336167596
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.01,validation_temperature,186800,-0.0915308321390485,0.21952656537815532,0.13792826552462525,70.13422177259704,45.8638251384658,415.9960238142735,-2.650029161664801,0.4165816150826874
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.05,test_cell_transfer,47086,-0.07782088968678212,0.0663328485347411,0.3254682920613346,436.0527528386082,241.7558938161322,1277.2025735371499,233.24301004864992,1.094251554322445
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.05,test_high_amplitude,39460,-0.07782088968678212,0.07651665412124427,0.36388748099341106,16.402985504110546,10.66962435689103,261.43831964685836,-0.49739501710955714,0.36394224978203754
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.05,train,263165,-0.1230925109892153,0.21583216598038668,0.1608990557254954,44.85068614963089,24.864798285847254,353.55848055334025,0.12473041735681066,0.2212257646335863
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.05,validation_temperature,186800,-0.10025955679904348,0.1772490037374767,0.10603854389721627,69.0911517958361,43.879511810351424,395.4519146558737,1.5129786602956148,0.4103860123572129
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.1,test_cell_transfer,47086,0.0,0.0,0.0,436.6435772917556,243.88625112359298,1319.0429218692973,234.23270696471732,1.0957341973558385
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.1,test_high_amplitude,39460,0.0,0.0,0.0,27.184160313577383,15.758196112735444,261.43831964685836,1.2238888393901661,0.6031502289921341
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.1,train,263165,0.0,0.0,0.0,59.88783607918824,30.00968561400698,490.4080055661355,7.726892516156859,0.2953964245868807
BATT4a_R0_slot_filtered_T_SOC_Isat_STLSQ_t0.1,validation_temperature,186800,0.0,0.0,0.0,91.38858065613626,58.39846435657141,554.2883876815328,19.1407416168144,0.5428277603662349
