current_convention,model,split,record,filename,temperature_c,amplitude_token,n_score,init_method,s0,v10,soc_min,soc_max,stable_fraction,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
I_model=I_raw,ohmic_only,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8653220985036785,0.0,0.013054066537824704,0.8653220985036785,1.0,129.72423589408126,105.61522071145663,423.3825962570439,27.9700907637582,0.36895858593148734
I_model=I_raw,ohmic_only,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,0.0,0.10327855413367737,0.98,1.0,17.42626822037971,12.559851249797271,273.80810755152976,-11.806319201408643,0.4738035873394748
I_model=I_raw,ohmic_only,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.9565248981530826,0.0,0.07539437081079015,0.9565248981530826,1.0,26.34031100942538,18.131068571720412,275.55807794359043,1.6756455945838762,0.42640543676957854
I_model=I_raw,ohmic_only,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,0.0,0.1039873313569255,0.98,1.0,85.23449615190451,58.66404152330659,400.1985801032117,18.41702542615489,0.49722019630602166
I_model=I_raw,ohmic_only,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9813325308948343,0.0,0.10694474613216831,0.9813325308948343,1.0,12.65373826105405,8.497145722516281,245.34403684954543,-0.7456212338393835,0.31389736556855036
I_model=I_raw,ohmic_only,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.984891256216878,0.0,0.1040390583862183,0.984891256216878,1.0,11.778435897800899,6.753566462464782,269.16604518173995,-3.261837987195888,0.30630343288971984
I_model=I_raw,ohmic_only,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.9899999998014638,0.0,0.11181460628618312,0.9899999998014638,1.0,14.702761539741068,8.619424081350298,280.43247322471433,-7.23286330283623,0.37874071392284964
I_model=I_raw,ohmic_only,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9541910891947789,0.0,0.07958928246439168,0.9541910891947789,1.0,28.65624050512516,19.778871488490662,274.38888383567627,2.6134840630715983,0.4449300594294689
I_model=I_raw,ohmic_only,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,0.0,0.10636804492140428,0.98,1.0,86.85939048844901,61.818157744807316,418.4907582249431,15.975874102280182,0.5086608192423643
I_model=I_raw,ohmic_only,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,0.0,0.10588108887532754,0.98,1.0,89.39497329813743,64.06391486511151,442.72574662536226,10.530991934424327,0.5141815228863503
I_model=I_raw,ohmic_only,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9899999999405822,0.0,0.11254176556495177,0.9899999999405822,1.0,19.507187854977406,12.34132073176156,255.19177092277266,-7.239010100757166,0.5172869128146725
I_model=I_raw,ohmic_only,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,0.0,0.15983632560968197,0.98,1.0,41.62984728742219,22.89408601161979,273.56976105273924,-4.640403157634785,0.9236647972450087
I_model=I_raw,ohmic_only,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,0.0,0.2143915247127619,0.98,1.0,436.2182971136297,244.36958470037442,1283.262758340078,229.66256028385905,1.0946669790137746
I_model=I_raw,constant_ecm,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,37360,prefix_output_error,0.98,-0.403283080155646,0.10180357360222536,0.98,1.0,94.44750657392306,63.48915304441557,440.94144425850334,26.655969041338853,0.5096742139557292
I_model=I_raw,constant_ecm,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,39005,training_fit,0.8670318021803926,-0.41276767531710734,0.014763770214538785,0.8670318021803926,1.0,128.57021904374346,104.36041151223807,432.16758717531746,28.204342346882772,0.365676358656783
I_model=I_raw,constant_ecm,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,37360,prefix_output_error,0.98,-0.3904897767724074,0.10327855413367737,0.98,1.0,18.374441669574434,15.10459293435573,187.40597619598765,-14.891211342809985,0.4995835177277328
I_model=I_raw,constant_ecm,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,37360,training_fit,0.9628561945372605,-0.38724529730469265,0.08172566719496799,0.9628561945372605,1.0,24.662250480702735,17.027762194690922,195.49019716114202,0.639007764804947,0.399240452558886
I_model=I_raw,constant_ecm,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,37360,prefix_output_error,0.98,-0.4583562388095874,0.1039873313569255,0.98,1.0,83.64984744103963,57.61317690119436,400.720979812208,15.42148124455663,0.48797605949915773
I_model=I_raw,constant_ecm,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,37360,training_fit,0.9845714942062589,-0.36306371831515744,0.1101837094435929,0.9845714942062589,1.0,10.034776475751476,7.186167199324219,171.81159794863544,-3.2101029288520255,0.2489295917794072
I_model=I_raw,constant_ecm,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,37360,training_fit,0.9897886257563112,-0.40875515785409866,0.1089364279256515,0.9897886257563112,1.0,9.852752509387937,6.653000184820794,179.16676702807655,-5.3882146945160345,0.256225185009649
I_model=I_raw,constant_ecm,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,37360,training_fit,0.989999995785644,-0.4360795228078475,0.11181460227036333,0.989999995785644,1.0,14.780749871691683,10.77972630338143,184.93619590907872,-10.261980170419175,0.3807496804996923
I_model=I_raw,constant_ecm,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,37360,training_fit,0.9641906204528478,-0.38222355481236764,0.08958881372246053,0.9641906204528478,1.0,27.574494151204537,18.775980086725742,194.8664526091908,2.5272052117761694,0.4281343646330271
I_model=I_raw,constant_ecm,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,37360,prefix_output_error,0.98,-0.45661053036304194,0.10636804492140428,0.98,1.0,85.61303209895863,61.11312816749788,421.6778420959404,12.990855224250852,0.5013619690443297
I_model=I_raw,constant_ecm,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,37360,prefix_output_error,0.98,-0.4373681073900646,0.10588108887532754,0.98,1.0,88.67056791383152,63.84736520620818,445.4817489887657,7.5174905293680645,0.5100148919232506
I_model=I_raw,constant_ecm,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,37360,training_fit,0.9899999991942102,-0.38813820444743197,0.1125417648185798,0.9899999991942102,1.0,18.159340235653293,12.767731453698191,169.34671193971872,-10.321785914117585,0.4815450140269969
I_model=I_raw,constant_ecm,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,39460,prefix_output_error,0.98,-0.42295648863563023,0.15983632560968197,0.98,1.0,35.15674271056976,19.555094427838277,199.74196578876933,-7.322716353200869,0.78004239130045
I_model=I_raw,constant_ecm,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,47086,prefix_output_error,0.98,-0.4134765906779643,0.2143915247127619,0.98,1.0,435.7990305199436,243.6041992792394,1286.7264768538835,227.5922895337066,1.0936148514470296
