trajectory_id,split,amplitude,phase,v0,t,u,v,dv
test_interp_2,test_interp,0.62,2.55,0,3.34,-0.6293223645990151,-0.8638519697009334,-0.1497820829670402
test_interp_2,test_interp,0.62,2.55,0,3.36,-0.6204973594559188,-0.8667293877305102,-0.1379881010818401
test_interp_2,test_interp,0.62,2.55,0,3.38,-0.6116123258019003,-0.8693726507951648,-0.1263676704654507
test_interp_2,test_interp,0.62,2.55,0,3.4,-0.6026751977015867,-0.8717852936269262,-0.1149270952101303
test_interp_2,test_interp,0.62,2.55,0,3.42,-0.5936938554948918,-0.8739709730699434,-0.1036722836764433
test_interp_2,test_interp,0.62,2.55,0,3.44,-0.5846761176601158,-0.8759334602415016,-0.09260875611693803
test_interp_2,test_interp,0.62,2.55,0,3.46,-0.5756297327669702,-0.8776766328488335,-0.08174165262218719
test_interp_2,test_interp,0.62,2.55,0,3.48,-0.5665623715281976,-0.8792044676676034,-0.07107574133311861
test_interp_2,test_interp,0.62,2.55,0,3.5,-0.557481618958338,-0.8805210331868608,-0.06061542686693788
test_interp_2,test_interp,0.62,2.55,0,3.52,-0.548394966648068,-0.8816304824242329,-0.0503647589073572
test_interp_2,test_interp,0.62,2.55,0,3.54,-0.5393098051624189,-0.8825370459141808,-0.0403274409132735
test_interp_2,test_interp,0.62,2.55,0,3.56,-0.5302334165710351,-0.883245024871257,-0.03050683890342942
test_interp_2,test_interp,0.62,2.55,0,3.58,-0.5211729671184847,-0.883758784529487,-0.02090599027795581
test_interp_2,test_interp,0.62,2.55,0,3.6,-0.5121355000424744,-0.8840827476582497,-0.01152761264098623
test_interp_2,test_interp,0.62,2.55,0,3.62,-0.5031279285476681,-0.8842213882543466,-0.002374112591776223
test_interp_2,test_interp,0.62,2.55,0,3.64,-0.4941570289426192,-0.8841792254093307,0.006552405545121542
test_interp_2,test_interp,0.62,2.55,0,3.66,-0.4852294339471506,-0.8839608173506067,0.01525013107703194
test_interp_2,test_interp,0.62,2.55,0,3.68,-0.4763516261773321,-0.8835707556543164,0.02371753841116003
test_interp_2,test_interp,0.62,2.55,0,3.7,-0.4675299318149981,-0.8830136596275809,0.0319533786540997
test_interp_2,test_interp,0.62,2.55,0,3.72,-0.4587705144685467,-0.8822941708572859,0.03995667136084619
test_interp_2,test_interp,0.62,2.55,0,3.74,-0.45007936923155,-0.8814169479222602,0.04772669644875671
test_interp_2,test_interp,0.62,2.55,0,3.76,-0.4414623169454879,-0.8803866612654159,0.05526298628948173
test_interp_2,test_interp,0.62,2.55,0,3.78,-0.4329249986726813,-0.8792079882221782,0.06256531798962234
test_interp_2,test_interp,0.62,2.55,0,3.8,-0.4244728703852774,-0.8778856082013416,0.06963370586870171
test_interp_2,test_interp,0.62,2.55,0,3.82,-0.4161111978759018,-0.8764241980143377,0.0764683941410364
test_interp_2,test_interp,0.62,2.55,0,3.84,-0.4078450518953313,-0.8748284273487843,0.0830698498062224
test_interp_2,test_interp,0.62,2.55,0,3.86,-0.3996793035223108,-0.8731029543821144,0.08943875575118548
test_interp_2,test_interp,0.62,2.55,0,3.88,-0.3916186197703637,-0.8712524215310348,0.0955760040651496
test_interp_2,test_interp,0.62,2.55,0,3.9,-0.383667459436193,-0.8692814513325567,0.1014826895673716
test_interp_2,test_interp,0.62,2.55,0,3.92,-0.3758300691940005,-0.8671946424523556,0.1071601035461258
test_interp_2,test_interp,0.62,2.55,0,3.94,-0.3681104799397766,-0.8649965658162602,0.1126097277061823
