trajectory_id,split,mu,x0,model,nrmse_all,nrmse_x1,nrmse_x2
interp_mu1.5_ic0,interpolation_mu,1.5,"[0.5, -1.0]",B0_constant_coefficient,1.174239109374874,1.173316975183343,1.175276861009268
interp_mu1.5_ic0,interpolation_mu,1.5,"[0.5, -1.0]",B3_slot_constrained,3.684538809929137e-14,2.565951660926287e-14,4.510542309226552e-14
interp_mu1.5_ic0,interpolation_mu,1.5,"[0.5, -1.0]",B4_oracle_reference,0,0,0
interp_mu1.5_ic1,interpolation_mu,1.5,"[-1.5, 0.5]",B0_constant_coefficient,1.440471882520765,1.440319058272885,1.442853370176399
interp_mu1.5_ic1,interpolation_mu,1.5,"[-1.5, 0.5]",B3_slot_constrained,3.217590710350941e-14,2.364092977081451e-14,3.868888845312373e-14
interp_mu1.5_ic1,interpolation_mu,1.5,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
interp_mu3_ic0,interpolation_mu,3,"[0.5, -1.0]",B0_constant_coefficient,1.107067464822491,1.105398152818388,1.109921716232281
interp_mu3_ic0,interpolation_mu,3,"[0.5, -1.0]",B3_slot_constrained,1.308817542489081e-13,5.713897252675507e-14,1.760009757312024e-13
interp_mu3_ic0,interpolation_mu,3,"[0.5, -1.0]",B4_oracle_reference,0,0,0
interp_mu3_ic1,interpolation_mu,3,"[-1.5, 0.5]",B0_constant_coefficient,1.274966765941524,1.253191714743636,1.296097941056236
interp_mu3_ic1,interpolation_mu,3,"[-1.5, 0.5]",B3_slot_constrained,6.643769532341931e-14,2.917141709276275e-14,8.868299215647619e-14
interp_mu3_ic1,interpolation_mu,3,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
extrap_mu5_ic0,extrapolation_mu,5,"[0.5, -1.0]",B0_constant_coefficient,1.139755932188625,1.159910729654078,1.127616506550222
extrap_mu5_ic0,extrapolation_mu,5,"[0.5, -1.0]",B3_slot_constrained,2.75534126583951e-13,7.98309530691155e-14,3.710934040622222e-13
extrap_mu5_ic0,extrapolation_mu,5,"[0.5, -1.0]",B4_oracle_reference,0,0,0
extrap_mu5_ic1,extrapolation_mu,5,"[-1.5, 0.5]",B0_constant_coefficient,1.324155753435951,1.308713986489555,1.341291512308667
extrap_mu5_ic1,extrapolation_mu,5,"[-1.5, 0.5]",B3_slot_constrained,2.46768224271376e-13,6.913442695106659e-14,3.430111784051228e-13
extrap_mu5_ic1,extrapolation_mu,5,"[-1.5, 0.5]",B4_oracle_reference,0,0,0
