t,x1,x2,dx1,dx2,split
16.31,1.852171344552497,-0.3526626957284459,-0.3526626957284459,-0.1378506918723716,future
16.32,1.84863784143363,-0.3540363427209681,-0.3540363427209681,-0.1368991240528161,future
16.33,1.845090647404912,-0.3554010754564687,-0.3554010754564687,-0.1360667452690865,future
16.34,1.841529845765613,-0.356758053600898,-0.356758053600898,-0.1353471743811836,future
16.35,1.83795550851567,-0.3581083750771565,-0.3581083750771565,-0.1347344560921897,future
16.36,1.834367696978138,-0.3594530803262178,-0.3594530803262178,-0.1342230325976654,future
16.37,1.830766462335724,-0.3607931560574734,-0.3607931560574734,-0.1338077183500057,future
16.38,1.827151846161013,-0.3621295388935463,-0.3621295388935463,-0.1334836758300706,future
16.39,1.823523880896359,-0.3634631187403803,-0.3634631187403803,-0.1332463931753165,future
16.4,1.819882590303833,-0.3647947419012137,-0.3647947419012137,-0.1330916635034982,future
16.41,1.816227989890352,-0.3661252140832797,-0.3661252140832797,-0.1330155651997096,future
16.42,1.812560087295608,-0.3674553031026142,-0.3674553031026142,-0.1330144440642629,future
16.43,1.808878882659334,-0.3687857415119259,-0.3687857415119259,-0.1330848962222779,future
16.44,1.805184368965471,-0.3701172290202296,-0.3701172290202296,-0.1332237523836186,future
16.45,1.801476532348091,-0.3714504347168053,-0.3714504347168053,-0.1334280633886094,future
16.46,1.797755352405747,-0.372785999310748,-0.372785999310748,-0.1336950859866834,future
16.47,1.79402080244827,-0.3741245369515938,-0.3741245369515938,-0.1340222709103807,future
16.48,1.790272849787396,-0.3754666373516771,-0.3754666373516771,-0.1344072498050211,future
16.49,1.786511455934517,-0.3768128672589154,-0.3768128672589154,-0.1348478254738383,future
16.5,1.782736576854231,-0.3781637723613277,-0.3781637723613277,-0.1353419603588586,future
16.51,1.778948163149671,-0.3795198787101036,-0.3795198787101036,-0.1358877675041721,future
16.52,1.775146160245355,-0.3808816941056808,-0.3808816941056808,-0.1364835018906652,future
16.53,1.77133050859608,-0.3822497097605279,-0.3822497097605279,-0.1371275507473619,future
16.54,1.767501143799671,-0.3836244012497738,-0.3836244012497738,-0.1378184273029772,future
16.55,1.763657996769192,-0.3850062297865834,-0.3850062297865834,-0.1385547632031825,future
16.56,1.759800993904851,-0.3863956437275549,-0.3863956437275549,-0.1393353001550457,future
16.57,1.755930057165492,-0.3877930793147627,-0.3877930793147627,-0.1401588851555191,future
16.58,1.752045104171086,-0.3891989614772912,-0.3891989614772912,-0.1410244655295365,future
16.59,1.748146048390063,-0.3906137053647168,-0.3906137053647168,-0.1419310809307714,future
16.6,1.744232799174235,-0.3920377169726176,-0.3920377169726176,-0.1428778595539919,future
16.61,1.740305261833212,-0.3934713938200528,-0.3934713938200528,-0.1438640141620389,future
16.62,1.736363337772618,-0.3949151261028136,-0.3949151261028136,-0.1448888361868064,future
16.63,1.732406924519241,-0.3963692973309891,-0.3963692973309891,-0.1459516922717583,future
16.64,1.728435915772868,-0.3978342848710831,-0.3978342848710831,-0.1470520212458211,future
16.65,1.724450201521785,-0.3993104609869906,-0.3993104609869906,-0.148189329099234,future
16.66,1.720449668036592,-0.4007981932942945,-0.4007981932942945,-0.1493631866374923,future
16.67,1.716434197922361,-0.4022978453261393,-0.4022978453261393,-0.1505732266691537,future
16.68,1.712403670194659,-0.403809777386895,-0.403809777386895,-0.1518191401277909,future
16.69,1.708357960253194,-0.405334346876169,-0.405334346876169,-0.1531006745436398,future
16.7,1.704296939945542,-0.4068719089362367,-0.4068719089362367,-0.1544176311746748,future
16.71,1.700220477589037,-0.4084228170783675,-0.4084228170783675,-0.1557698623951254,future
16.72,1.696128437944612,-0.4099874234476423,-0.4099874234476423,-0.1571572706277715,future
16.73,1.692020682284319,-0.4115660795572466,-0.4115660795572466,-0.1585798054022307,future
16.74,1.687897068353748,-0.4131591366352201,-0.4131591366352201,-0.1600374621533818,future
16.75,1.683757450376128,-0.4147669460022415,-0.4147669460022415,-0.1615302808882118,future
16.76,1.679601679085222,-0.416389859722212,-0.416389859722212,-0.1630583438688964,future
16.77,1.67542960165981,-0.4180282307825955,-0.4180282307825955,-0.1646217752795947,future
16.78,1.671241061760744,-0.4196824136532471,-0.4196824136532471,-0.1662207393814494,future
