model,split,profile_id,n_samples,rollout_rmse_c,rollout_nrmse,rollout_mae_c,rollout_bias_c,rollout_max_abs_c
B3_operating_adaptive_cooling_slot,train,56,32523,13.937295107507316,1.2569662121050134,12.129681015795052,11.179625523574103,27.337706248799037
B3_operating_adaptive_cooling_slot,test,53,31842,4.38504711355466,0.5718131705892155,3.5315922409365363,2.873699777073437,10.977484028284394
B3_operating_adaptive_cooling_slot,test,79,30554,5.342531174921971,0.48339300506378674,4.06472842482787,-3.3748157589162755,13.883983938130228
B3_operating_adaptive_cooling_slot,test,44,25741,5.637503585401292,0.49077504308996045,4.092783910078035,2.6025169910017083,13.88898261507525
B3_operating_adaptive_cooling_slot,test,70,25077,4.940745201431762,0.5569449591183924,4.011733452370754,-3.947826963529974,13.206712965846428
B3_operating_adaptive_cooling_slot,test,62,25000,5.136965732174896,0.3782773662479591,4.459413799498123,-4.165702323864017,11.282562041632609
B3_operating_adaptive_cooling_slot,test,30,23263,3.5648519185427414,0.508551222310691,2.8800838931412343,-2.5466694251420208,7.312361755894663
B1_full_linear_features,train,20,43371,6.558841116288361,0.34654824708289206,5.024346439914428,-0.7444850513440436,15.08981553395094
B1_full_linear_features,train,6,39788,7.753101179540059,0.5719289261060668,7.114913419043916,3.6501695669348835,13.487342143301333
B1_full_linear_features,train,65,39494,5.253337792758296,0.35188914156210266,4.311315349454597,-3.3801556026441926,13.319679327494676
B1_full_linear_features,train,18,37132,1.6292048386815823,0.30187084754039667,1.440702642420682,-0.15663834453080247,3.3735841591175664
B1_full_linear_features,train,66,35876,5.464803722970575,0.4537543738512373,4.308915220390708,-2.576650760237009,12.100532051576273
B1_full_linear_features,train,13,35306,2.122982880260659,0.64795158779664,1.689994068134873,0.8711606988540809,4.043895158166613
B1_full_linear_features,train,27,34761,7.499786495423826,0.3659197706239993,6.300444676185811,-2.6704623704293073,15.343746193854784
B1_full_linear_features,train,4,32824,6.108907673843242,0.38540682275328103,5.186052270865919,1.1948323388207087,11.534001504891364
B1_full_linear_features,train,58,32782,3.870411456819314,0.38212360290011804,3.2716887062747677,2.4951729099225792,9.219889535091383
B1_full_linear_features,train,56,32523,4.085073548997541,0.368421518339521,3.4754909586761427,2.1576501479815646,11.660722585136355
B1_full_linear_features,test,53,31842,4.35001786939534,0.5672453329702835,3.9927741605053453,3.9545020300229408,8.03648080744781
B1_full_linear_features,test,79,30554,5.852721445127476,0.5295550956149095,4.753724630596668,-4.627355447825612,15.704954065624612
B1_full_linear_features,test,44,25741,3.2141294130751366,0.2798072723684796,2.3874227335052924,0.2540943085000797,8.56732192932175
B1_full_linear_features,test,70,25077,4.1855128962843535,0.4718114806315193,3.6803120317468823,-3.675732946237842,7.606680425278213
B1_full_linear_features,test,62,25000,4.263120400266935,0.3139288913122959,3.367968902980953,-2.6362512335366244,7.6692437365120085
B1_full_linear_features,test,30,23263,2.3623026515727092,0.33699910357459745,2.0808238305561333,-0.18621903344689633,4.91632498904228
