noise_level,seed,model,term,dx1_coefficient,dx2_coefficient
0.05,0,B1_full_sindy,mu,0,0.01997351796152828
0.05,0,B2_free_residual_sindy,mu,0,0.01997351796151759
0.05,0,B1_full_sindy,x1^2,-0.004069838114891524,0.03096844420228782
0.05,0,B2_free_residual_sindy,x1^2,-0.004069838114890908,0.03096844420228888
0.05,0,B1_full_sindy,x1*x2,0,-0.003310447600178261
0.05,0,B2_free_residual_sindy,x1*x2,0,-0.003310447600178502
0.05,0,B1_full_sindy,x1*mu,0.01689673859692248,0.02710258918532275
0.05,0,B2_free_residual_sindy,x1*mu,0.01689673859692355,0.0271025891853236
0.05,0,B1_full_sindy,x2^2,0,0.0104088155391272
0.05,0,B2_free_residual_sindy,x2^2,0,0.01040881553912709
0.05,0,B1_full_sindy,x2*mu,-0.009889540992400548,0.9206463055711266
0.05,0,B2_free_residual_sindy,x2*mu,-0.009889540992394846,0.9206463055711266
0.05,0,B1_full_sindy,mu^2,0,0.02141667309280329
0.05,0,B2_free_residual_sindy,mu^2,0,0.0214166730927883
0.05,0,B1_full_sindy,x1^3,0.01051262975293704,0.01303494259495663
0.05,0,B2_free_residual_sindy,x1^3,0.0105126297529364,0.01303494259495679
0.05,0,B1_full_sindy,x1^2*x2,-0.0147591456732586,-0.02768100122313226
0.05,0,B2_free_residual_sindy,x1^2*x2,-0.01475914567325803,-0.02768100122313198
0.05,0,B1_full_sindy,x1^2*mu,0,-0.008065387206252467
0.05,0,B2_free_residual_sindy,x1^2*mu,0,-0.00806538720625267
0.05,0,B1_full_sindy,x1*x2^2,0.02263566502991043,-0.005540449308780689
0.05,0,B2_free_residual_sindy,x1*x2^2,0.02263566502991004,-0.005540449308781286
0.05,0,B1_full_sindy,x1*x2*mu,-0.001658864512643659,0.008901063674589944
0.05,0,B2_free_residual_sindy,x1*x2*mu,-0.001658864512643644,0.008901063674589938
0.05,0,B1_full_sindy,x1*mu^2,-0.001621542861652503,0.00338506729731232
0.05,0,B2_free_residual_sindy,x1*mu^2,-0.001621542861652593,0.003385067297311874
0.05,0,B1_full_sindy,x2^3,-0.01059056453085525,0.02720031392184626
0.05,0,B2_free_residual_sindy,x2^3,-0.01059056453085498,0.02720031392184646
0.05,0,B1_full_sindy,x2^2*mu,0,-0.004813474392260916
0.05,0,B2_free_residual_sindy,x2^2*mu,0,-0.004813474392260867
0.05,0,B1_full_sindy,x2*mu^2,0.0102364206366139,-0.00864696485835429
0.05,0,B2_free_residual_sindy,x2*mu^2,0.0102364206366145,-0.008646964858354703
0.05,0,B1_full_sindy,mu^3,0,-0.01402398954198547
0.05,0,B2_free_residual_sindy,mu^3,0,-0.01402398954197856
