noise_level,seed,c0,b3_coefficient_grid_nrmse,b3_support_precision,b3_support_recall,b1_active_terms,b2_active_terms,b3_active_terms,interp_b1_vector_field_nrmse,interp_b2_vector_field_nrmse,interp_b3_vector_field_nrmse,extrap_b1_vector_field_nrmse,extrap_b2_vector_field_nrmse,extrap_b3_vector_field_nrmse,interp_b0_rollout_nrmse,interp_b3_rollout_nrmse,extrap_b0_rollout_nrmse,extrap_b3_rollout_nrmse,rollout_failures
0.01,4,0.01582518176308751,0.001431942971724739,1,1,9,17,2,0.001613432754509785,0.001601534387313564,0.001077750411267217,0.002624706129431335,0.002648115477183352,0.001210648756038883,1.004293898851479,0.00421199419948219,1.060334932997844,0.01444676379585082,0
0.03,0,0.01586118313572539,0.01932500975608412,0.3333333333333333,1,34,33,6,0.01816195254953617,0.01815814428069494,0.01386565898566091,0.02797279124408051,0.02797295234087924,0.01678705084837577,1.004348165628692,0.08390551935844839,1.06037189958099,0.3194246188929781,0
0.03,1,0.01573569925667374,0.02274641739070532,0.3333333333333333,1,26,25,6,0.01867183730005658,0.0186713861932386,0.01824783078353691,0.03130345751987473,0.03130339003406083,0.02355402068589703,1.004159143726977,0.0448063983649957,1.060243134950782,0.1378302432893702,0
0.03,2,0.01716237406250678,0.02836492368745045,0.4,1,34,30,5,0.01816473388294291,0.01815329763264155,0.02013502674359852,0.03839676065610718,0.03838984765703062,0.02573746793448487,1.006329263054998,0.07678145295635866,1.061721012400012,0.2609365492109176,0
0.03,3,0.01631003321330649,0.009516920285865973,0.3333333333333333,1,32,31,6,0.01427784970912401,0.01427664827548314,0.007606273601947534,0.02251725779140203,0.02251419493914756,0.008035669601090862,1.005027201149766,0.0344616437162329,1.060834406968603,0.100541629131396,0
0.03,4,0.01516501595404303,0.01256236803152275,0.3333333333333333,1,28,27,6,0.01419362403357998,0.01419352197101605,0.009420131292969454,0.03176054034728376,0.03176053196896293,0.01025095765806278,1.003303964451849,0.0480933109901057,1.059660476406001,0.1413168908440223,0
0.05,0,0.01564002937729762,0.04467136684811147,0.3333333333333333,1,48,48,6,0.04071695267400469,0.04071695267400459,0.032034960720985,0.05397011426067765,0.05397011426067209,0.03751687946403789,1.004015270319715,0.1815604406446354,1.060145121026117,0.5547767332908938,0
0.05,1,0.01542908117493036,0.05120438958326206,0.3333333333333333,1,51,51,6,0.04233308113295785,0.04233308113295607,0.03918241256909893,0.06002429948399277,0.06002429948399127,0.0487696350588197,1.00369876254047,0.1296193585210467,1.059929483886539,0.388661583530656,0
0.05,2,0.01781978829588364,0.06133433825889029,0.3333333333333333,1,44,44,6,0.04234581588758789,0.04234581588758853,0.04350287859879087,0.0715232767374118,0.0715232767374113,0.05400203581086999,1.007344935269464,0.1789943078762303,1.062412384754796,0.5232668552630131,0
0.05,3,0.01639997763580842,0.02815124066302904,0.3333333333333333,1,46,46,6,0.03468060421893231,0.03468060421893136,0.02152875375334292,0.05593103236491331,0.05593103236490165,0.02272391510439676,1.005163821316755,0.1084064323243874,1.060927450740029,0.3189905027647135,0
0.05,4,0.01450408936427057,0.03444004563285994,0.3333333333333333,1,46,46,6,0.03471182679693341,0.03471182679693301,0.02551874043787552,0.05531573425779367,0.05531573425778839,0.02796865093618717,1.0023226491305,0.1326479042871641,1.058991673589469,0.3802408693847244,0
