t,true_x1,true_x2,b0_x1,b0_x2,b1_x1,b1_x2,b2_x1,b2_x2,b3_x1,b3_x2,b4_x1,b4_x2
10.03,1.206973844031058,-0.6916255226610086,-0.6439459979558136,-0.9402792533530038,1.206973844031115,-0.6916255226608825,1.206973844031058,-0.6916255226610079,1.206973844031055,-0.6916255226610099,1.206973844031058,-0.6916255226610086
10.04,1.200028649351988,-0.6974318651409962,-0.6533176048453814,-0.934026246145808,1.20002864935209,-0.6974318651408161,1.200028649351988,-0.6974318651409956,1.200028649351986,-0.6974318651409974,1.200028649351988,-0.6974318651409962
10.05,1.193024832908418,-0.7033503623265555,-0.6626262063232201,-0.927678268193954,1.193024832908427,-0.7033503623266461,1.193024832908418,-0.703350362326554,1.193024832908415,-0.703350362326557,1.193024832908418,-0.7033503623265555
10.06,1.185961258226613,-0.7093840190446333,-0.6718708556881843,-0.9212359307395916,1.18596125822671,-0.7093840190443851,1.185961258226613,-0.7093840190446329,1.185961258226611,-0.7093840190446344,1.185961258226613,-0.7093840190446333
10.07,1.178836758342339,-0.715535937502375,-0.6810506124566783,-0.9146998545819532,1.178836758342414,-0.7155359375022928,1.178836758342339,-0.715535937502374,1.178836758342337,-0.7155359375023763,1.178836758342339,-0.715535937502375
10.08,1.171650134618212,-0.7218093213633976,-0.6901645424123867,-0.9080706700461832,1.171650134618165,-0.7218093213636783,1.171650134618213,-0.7218093213633955,1.17165013461821,-0.7218093213633995,1.171650134618212,-0.7218093213633976
10.09,1.164400155990893,-0.7282074785034489,-0.6992117176473608,-0.9013490169488642,1.164400155991029,-0.728207478503078,1.164400155990894,-0.7282074785034487,1.164400155990891,-0.7282074785034499,1.164400155990893,-0.7282074785034489
10.1,1.157085557776198,-0.7347338253978115,-0.7081912166860871,-0.8945355445206807,1.157085557776237,-0.7347338253978573,1.157085557776199,-0.7347338253978101,1.157085557776196,-0.7347338253978132,1.157085557776198,-0.7347338253978115
10.11,1.149705040437602,-0.741391891418395,-0.7171021246469214,-0.8876309113043733,1.149705040437534,-0.7413918914187483,1.149705040437603,-0.7413918914183927,1.149705040437599,-0.7413918914183971,1.149705040437602,-0.741391891418395
10.12,1.142257268724301,-0.7481853220200386,-0.7259435332740772,-0.8806357851297218,1.142257268724469,-0.7481853220195683,1.142257268724301,-0.7481853220200387,1.142257268724299,-0.7481853220200396,1.142257268724301,-0.7481853220200386
10.13,1.134740870260817,-0.7551178838635084,-0.7347145409811026,-0.8735508430756915,1.134740870260817,-0.7551178838636852,1.134740870260818,-0.7551178838635066,1.134740870260815,-0.7551178838635103,1.134740870260817,-0.7551178838635084
10.14,1.127154434309031,-0.7621934691884377,-0.7434142530253312,-0.8663767713541737,1.127154434308981,-0.7621934691887343,1.127154434309031,-0.7621934691884354,1.127154434309028,-0.7621934691884399,1.127154434309031,-0.7621934691884377
10.15,1.119496510728391,-0.7694160996547444,-0.7520417816079266,-0.8591142652401831,1.119496510728574,-0.7694160996542302,1.119496510728391,-0.7694160996547447,1.119496510728389,-0.7694160996547454,1.119496510728391,-0.7694160996547444
10.16,1.111765608349228,-0.7767899322127321,-0.7605962459098801,-0.8517640290384983,1.111765608349206,-0.7767899322129757,1.111765608349229,-0.77678993221273,1.111765608349225,-0.7767899322127343,1.111765608349228,-0.7767899322127321
10.17,1.103960193749571,-0.784319263470448,-0.7690767721462761,-0.8443267760391416,1.103960193749575,-0.7843192634705628,1.103960193749572,-0.7843192634704463,1.103960193749569,-0.7843192634704501,1.103960193749571,-0.784319263470448
10.18,1.09607868996354,-0.7920085344314528,-0.7774824937634309,-0.8368032283734674,1.096078689963711,-0.7920085344309877,1.096078689963541,-0.7920085344314528,1.096078689963538,-0.792008534431454,1.09607868996354,-0.7920085344314528
10.19,1.088119474666488,-0.7998623370202617,-0.7858125514899326,-0.8291941169743523,1.088119474666502,-0.7998623370203629,1.088119474666489,-0.79986233702026,1.088119474666486,-0.7998623370202638,1.088119474666488,-0.7998623370202617
10.2,1.080080878944901,-0.8078854185052259,-0.7940660933740039,-0.8215001815368963,1.080080878944985,-0.8078854185050659,1.080080878944902,-0.8078854185052249,1.080080878944899,-0.8078854185052275,1.080080878944901,-0.8078854185052259
10.21,1.07196118570221,-0.8160826872874065,-0.8022422748738833,-0.8137221704457454,1.071961185702333,-0.8160826872871131,1.07196118570221,-0.8160826872874059,1.071961185702207,-0.8160826872874081,1.07196118570221,-0.8160826872874065
10.22,1.063758627698224,-0.8244592199339362,-0.8103402590323184,-0.805860840635895,1.063758627698173,-0.824459219934271,1.063758627698225,-0.8244592199339336,1.063758627698222,-0.8244592199339388,1.063758627698224,-0.8244592199339362
10.23,1.055471386242201,-0.8330202658760959,-0.8183592165064743,-0.797916957565309,1.055471386242369,-0.8330202658756423,1.055471386242202,-0.8330202658760956,1.055471386242199,-0.8330202658760972,1.055471386242201,-0.8330202658760959
10.24,1.047097589277827,-0.8417712542864179,-0.8262983256048876,-0.7898912951724184,1.047097589277871,-0.8417712542864052,1.047097589277828,-0.8417712542864162,1.047097589277825,-0.8417712542864199,1.047097589277827,-0.8417712542864179
10.25,1.038635309323693,-0.8507178014448546,-0.8341567724165883,-0.7817846357672298,1.038635309323589,-0.8507178014453829,1.038635309323694,-0.8507178014448513,1.03863530932369,-0.8507178014448575,1.038635309323693,-0.8507178014448546
10.26,1.030082562019177,-0.8598657159146138,-0.841933750943778,-0.773597769915686,1.0300825620194,-0.8598657159139705,1.030082562019178,-0.8598657159146139,1.030082562019175,-0.8598657159146149,1.030082562019177,-0.8598657159146138
10.27,1.021437303799953,-0.86922100679811,-0.8496284631279905,-0.7653314964109597,1.021437303799924,-0.869221006798349,1.021437303799954,-0.8692210067981073,1.02143730379995,-0.8692210067981124,1.021437303799953,-0.86922100679811
10.28,1.012697429911802,-0.8787898907885626,-0.8572401188872844,-0.7569866222293257,1.012697429911778,-0.8787898907888151,1.012697429911803,-0.87878989078856,1.0126974299118,-0.8787898907885652,1.012697429911802,-0.8787898907885626
10.29,1.003860772591197,-0.8885787985358498,-0.8647679362763893,-0.7485639623846149,1.003860772591402,-0.8885787985352704,1.003860772591198,-0.8885787985358496,1.003860772591195,-0.8885787985358512,1.003860772591197,-0.8885787985358498
10.3,0.9949250984058808,-0.898594383979293,-0.8722111415737244,-0.7400643398452492,0.9949250984059179,-0.8985943839793136,0.9949250984058821,-0.898594383979291,0.9949250984058785,-0.8985943839792954,0.9949250984058808,-0.898594383979293
10.31,0.9858881063626264,-0.9088435309527877,-0.8795689693117897,-0.7314885854959683,0.9858881063627543,-0.908843530952515,0.9858881063626272,-0.9088435309527865,0.9858881063626241,-0.9088435309527896,0.9858881063626264,-0.9088435309527877
10.32,0.9767474255513001,-0.9193333612606219,-0.8868406623205538,-0.7228375380884602,0.9767474255513908,-0.9193333612604282,0.9767474255513012,-0.9193333612606205,0.9767474255512979,-0.919333361260624,0.9767474255513001,-0.9193333612606219
10.33,0.967500612341569,-0.930071244360296,-0.8940254719023714,-0.7141120440678688,0.9675006123414581,-0.9300712443608373,0.9675006123415708,-0.9300712443602922,0.9675006123415664,-0.9300712443602992,0.967500612341569,-0.930071244360296
10.34,0.9581451484082535,-0.9410648040339286,-0.9011226578807371,-0.7053129575214885,0.9581451484084853,-0.9410648040332985,0.9581451484082543,-0.9410648040339282,0.9581451484082513,-0.94106480403393,0.9581451484082535,-0.9410648040339286
10.35,0.94867843776421,-0.9523219283362501,-0.9081314886313894,-0.6964411401343318,0.948678437764187,-0.9523219283364407,0.9486784377642116,-0.9523219283362472,0.9486784377642075,-0.9523219283362527,0.94867843776421,-0.9523219283362501
10.36,0.9390978041007199,-0.9638507785404145,-0.9150512411516063,-0.6874974611123909,0.9390978041007494,-0.9638507785404948,0.9390978041007212,-0.9638507785404118,0.9390978041007173,-0.9638507785404171,0.9390978041007199,-0.9638507785404145
10.37,0.9294004883338205,-0.9756597970791284,-0.9218812012183332,-0.6784827970116648,0.9294004883339789,-0.9756597970787204,0.9294004883338215,-0.9756597970791272,0.9294004883338181,-0.9756597970791304,0.9294004883338205,-0.9756597970791284
10.38,0.9195836452096312,-0.9877577186207303,-0.928620663416199,-0.6693980317042146,0.9195836452095522,-0.9877577186211322,0.9195836452096329,-0.9877577186207265,0.9195836452096283,-0.9877577186207336,0.9195836452096312,-0.9877577186207303
10.39,0.9096443408410771,-1.000153577927497,-0.9352689311677945,-0.6602440563302688,0.9096443408412913,-1.000153577926975,0.909644340841078,-1.000153577927496,0.9096443408410747,-1.000153577927499,0.9096443408410771,-1.000153577927497
10.4,0.899579549423944,-1.012856720049778,-0.9418253168359061,-0.6510217691806742,0.8995795494239389,-1.012856720049882,0.8995795494239456,-1.012856720049775,0.8995795494239412,-1.012856720049781,0.899579549423944,-1.012856720049778
10.41,0.8893861499692806,-1.02587681052845,-0.9482891418449451,-0.6417320755535306,0.889386149969333,-1.025876810528464,0.889386149969282,-1.025876810528447,0.8893861499692778,-1.025876810528453,0.8893861499692806,-1.02587681052845
10.42,0.8790609234448072,-1.03922384380794,-0.9546597367023183,-0.6323758877226607,0.8790609234449308,-1.039223843807648,0.8790609234448085,-1.039223843807938,0.8790609234448046,-1.039223843807942,0.8790609234448072,-1.03922384380794
10.43,0.8686005488894605,-1.05290815474277,-0.9609364410298721,-0.6229541248863719,0.8686005488893856,-1.052908154743126,0.8686005488894624,-1.052908154742766,0.8686005488894575,-1.052908154742773,0.8686005488894605,-1.05290815474277
10.44,0.858001600502917,-1.066940426854181,-0.9671186036950321,-0.6134677130055743,0.8580016005031226,-1.066940426853714,0.8580016005029181,-1.066940426854179,0.8580016005029144,-1.066940426854183,0.858001600502917,-1.066940426854181
10.45,0.847260543728597,-1.081331703048303,-0.9732055828870079,-0.6039175847050351,0.8472605437286553,-1.081331703048252,0.8472605437285986,-1.0813317030483,0.8472605437285943,-1.081331703048306,0.847260543728597,-1.081331703048303
10.46,0.8363737317486717,-1.096093395110152,-0.979196746140408,-0.5943046792318746,0.8363737317488429,-1.096093395109847,0.8363737317486729,-1.09609339511015,0.8363737317486691,-1.096093395110155,0.8363737317486717,-1.096093395110152
10.47,0.8253374018554224,-1.111237292678594,-0.9850914703763599,-0.5846299423932022,0.8253374018554493,-1.111237292678552,0.825337401855424,-1.111237292678591,0.8253374018554195,-1.111237292678597,0.8253374018554224,-1.111237292678594
10.48,0.8141476713232313,-1.126775573544103,-0.9908891420446744,-0.5748943263638425,0.8141476713233218,-1.126775573544035,0.8141476713232328,-1.1267755735441,0.8141476713232286,-1.126775573544106,0.8141476713232313,-1.126775573544103
10.49,0.8028005339084159,-1.142720811355681,-0.9965891571605947,-0.5650987896327778,0.8028005339084915,-1.142720811355495,0.8028005339084174,-1.142720811355679,0.8028005339084131,-1.142720811355684,0.8028005339084159,-1.142720811355681
10.5,0.7912918553573509,-1.159085985459669,-1.002190921328642,-0.5552442969547844,0.7912918553573771,-1.15908598545974,0.7912918553573526,-1.159085985459665,0.791291855357348,-1.159085985459672,0.7912918553573509,-1.159085985459669
10.51,0.7796173698162072,-1.175884487769299,-1.007693849817434,-0.5453318192397716,0.779617369816327,-1.175884487769027,0.7796173698162087,-1.175884487769296,0.7796173698162046,-1.175884487769302,0.7796173698162072,-1.175884487769299
10.52,0.7677726751841822,-1.193130131131142,-1.013097367672336,-0.5353623333854983,0.7677726751841794,-1.193130131131237,0.7677726751841841,-1.193130131131138,0.7677726751841794,-1.193130131131145,0.7677726751841822,-1.193130131131142
10.53,0.7557532293025261,-1.210837155263517,-1.018400909735291,-0.5253368222414283,0.755753229302667,-1.21083715526323,0.7557532293025275,-1.210837155263514,0.7557532293025233,-1.21083715526352,0.7557532293025261,-1.210837155263517
10.54,0.7435543452858231,-1.229020232901797,-1.023603920671821,-0.5152562745525684,0.7435543452858167,-1.229020232901856,0.7435543452858251,-1.229020232901792,0.7435543452858202,-1.2290202329018,0.7435543452858231,-1.229020232901797
10.55,0.7311711874791685,-1.24769447420896,-1.02870585507944,-0.5051216847893347,0.7311711874793141,-1.247694474208686,0.7311711874791701,-1.247694474208957,0.7311711874791658,-1.247694474208964,0.7311711874791685,-1.24769447420896
10.56,0.7185987668030507,-1.26687543009694,-1.033706177550913,-0.4949340530432255,0.7185987668030536,-1.266875430096952,0.7185987668030527,-1.266875430096935,0.7185987668030477,-1.266875430096943,0.7185987668030507,-1.26687543009694
10.57,0.7058319365652644,-1.286579094169859,-1.038604362692813,-0.4846943849831605,0.7058319365654048,-1.286579094169587,0.7058319365652661,-1.286579094169855,0.7058319365652616,-1.286579094169862,0.7058319365652644,-1.286579094169859
10.58,0.6928653878198966,-1.306821902498579,-1.043399895171048,-0.4744036917712475,0.6928653878199181,-1.306821902498561,0.6928653878198986,-1.306821902498575,0.6928653878198935,-1.306821902498583,0.6928653878198966,-1.306821902498579
10.59,0.6796936451604503,-1.327620731961283,-1.048092269822062,-0.4640629898701015,0.6796936451605787,-1.327620731960977,0.6796936451604519,-1.32762073196128,0.6796936451604473,-1.327620731961287,0.6796936451604503,-1.327620731961283
10.6,0.6663110621128568,-1.348992895480588,-1.052680991676918,-0.453673300995255,0.6663110621129081,-1.348992895480583,0.6663110621128587,-1.348992895480583,0.6663110621128536,-1.348992895480592,0.6663110621128568,-1.348992895480588
10.61,0.6527118170432271,-1.370956135412382,-1.057165575982672,-0.4432356520599965,0.6527118170433396,-1.370956135412,0.6527118170432289,-1.370956135412378,0.652711817043224,-1.370956135412386,0.6527118170432271,-1.370956135412382
10.62,0.6388899086566149,-1.393528612981871,-1.061545548287117,-0.4327510750173071,0.6388899086567049,-1.393528612981933,0.6388899086566167,-1.393528612981865,0.6388899086566115,-1.393528612981875,0.6388899086566149,-1.393528612981871
10.63,0.6248391521451013,-1.41672889500507,-1.065820444503939,-0.4222206067337134,0.6248391521452014,-1.416728895004679,0.6248391521451032,-1.416728895005065,0.624839152145098,-1.416728895005073,0.6248391521451013,-1.41672889500507
10.64,0.6105531749354353,-1.440575936058089,-1.069989810928218,-0.4116452889457657,0.6105531749355615,-1.440575936058208,0.610553174935437,-1.440575936058083,0.6105531749354319,-1.440575936058094,0.6105531749354353,-1.440575936058089
10.65,0.5960254131965175,-1.465089056292018,-1.074053204275886,-0.4010261681720576,0.5960254131965829,-1.465089056291703,0.5960254131965195,-1.465089056292013,0.596025413196514,-1.465089056292022,0.5960254131965175,-1.465089056292018
10.66,0.5812491080546851,-1.490287914557227,-1.078010191777265,-0.3903642955205687,0.5812491080548322,-1.4902879145572,0.5812491080546869,-1.490287914557221,0.5812491080546818,-1.490287914557232,0.5812491080546851,-1.490287914557227
10.67,0.5662173025879623,-1.516192474699859,-1.081860351198476,-0.3796607266371732,0.5662173025880106,-1.516192474699597,0.5662173025879644,-1.516192474699853,0.5662173025879588,-1.516192474699863,0.5662173025879623,-1.516192474699859
10.68,0.5509228388159765,-1.542822967276555,-1.085603270861399,-0.3689165216453168,0.550922838816125,-1.542822967276077,0.5509228388159784,-1.54282296727655,0.550922838815973,-1.542822967276559,0.5509228388159765,-1.542822967276555
10.69,0.5353583553160814,-1.570199841418163,-1.08923854972133,-0.3581327449726465,0.535358355316166,-1.57019984141837,0.5353583553160836,-1.570199841418155,0.5353583553160779,-1.570199841418168,0.5353583553160814,-1.570199841418163
10.7,0.519516285349915,-1.598343711570316,-1.092765797412878,-0.3473104652428506,0.5195162853500319,-1.598343711569993,0.519516285349917,-1.59834371157031,0.5195162853499113,-1.59834371157032,0.519516285349915,-1.598343711570316
10.71,0.5033888553840823,-1.627275292612249,-1.096184634262704,-0.3364507552290359,0.5033888553842146,-1.627275292612465,0.5033888553840844,-1.627275292612242,0.5033888553840786,-1.627275292612255,0.5033888553840823,-1.627275292612249
10.72,0.486968084644714,-1.657015326176178,-1.099494691338672,-0.3255546917282935,0.4869680846447836,-1.657015326175729,0.4869680846447163,-1.657015326176172,0.4869680846447102,-1.657015326176182,0.486968084644714,-1.657015326176178
10.73,0.4702457850610022,-1.687584496557944,-1.10269561051535,-0.3146233553972702,0.470245785061175,-1.68758449655727,0.4702457850610042,-1.687584496557938,0.4702457850609985,-1.687584496557948,0.4702457850610022,-1.687584496557944
10.74,0.4532135624599494,-1.719003331434664,-1.105787044487458,-0.3036578307047924,0.4532135624600314,-1.719003331435147,0.4532135624599519,-1.719003331434655,0.4532135624599455,-1.71900333143467,0.4532135624599494,-1.719003331434664
10.75,0.4358628186407927,-1.751292092692287,-1.108768656797374,-0.2926592058459644,0.435862818640907,-1.751292092691535,0.4358628186407952,-1.751292092692281,0.4358628186407889,-1.751292092692291,0.4358628186407927,-1.751292092692287
10.76,0.4181847545610931,-1.784470648826897,-1.111640121904642,-0.2816285725515151,0.4181847545612539,-1.784470648826798,0.4181847545610954,-1.784470648826889,0.4181847545610892,-1.784470648826903,0.4181847545610931,-1.784470648826897
10.77,0.4001703751581107,-1.818558331728418,-1.114401125204479,-0.2705670260269118,0.4001703751581764,-1.818558331728581,0.4001703751581134,-1.818558331728409,0.4001703751581066,-1.818558331728424,0.4001703751581107,-1.818558331728418
10.78,0.3818104953014211,-1.853573777318733,-1.11705136304537,-0.2594756648826673,0.3818104953015876,-1.85357377731803,0.3818104953014237,-1.853573777318726,0.3818104953014171,-1.853573777318738,0.3818104953014211,-1.853573777318733
10.79,0.3630957477470934,-1.889534741678764,-1.119590542789283,-0.2483555909515625,0.3630957477472077,-1.889534741679345,0.3630957477470961,-1.889534741678753,0.3630957477470892,-1.889534741678771,0.3630957477470934,-1.889534741678764
10.8,0.3440165930145527,-1.926457899079064,-1.122018382837432,-0.2372079092017312,0.3440165930146434,-1.926457899078554,0.3440165930145556,-1.926457899079056,0.3440165930145485,-1.926457899079069,0.3440165930145527,-1.926457899079064
10.81,0.3245633310715742,-1.964358616293885,-1.12433461264269,-0.2260337276759075,0.3245633310718221,-1.964358616292543,0.3245633310715768,-1.964358616293879,0.3245633310715701,-1.964358616293889,0.3245633310715742,-1.964358616293885
10.82,0.3047261159172885,-2.003250696562059,-1.12653897275907,-0.2148341573219814,0.3047261159173348,-2.003250696563341,0.3047261159172918,-2.003250696562045,0.304726115917284,-2.003250696562067,0.3047261159172885,-2.003250696562059
10.83,0.2844949725000045,-2.043146101755684,-1.128631214870961,-0.2036103118856698,0.284494972500168,-2.043146101754107,0.2844949725000075,-2.043146101755679,0.2844949725000002,-2.043146101755688,0.2844949725000045,-2.043146101755684
10.84,0.2638598164846264,-2.084054641344954,-1.130611101802947,-0.1923633078533291,0.263859816484913,-2.084054641343717,0.2638598164846292,-2.084054641344947,0.2638598164846222,-2.084054641344958,0.2638598164846264,-2.084054641344954
10.85,0.2428104778528821,-2.125983626424063,-1.132478407561118,-0.1810942642903577,0.2428104778528371,-2.12598362642588,0.242810477852886,-2.125983626424047,0.2428104778528773,-2.125983626424072,0.2428104778528821,-2.125983626424063
10.86,0.221336727329944,-2.16893749805041,-1.134232917361034,-0.1698043027256961,0.221336727330184,-2.168937498048504,0.2213367273299471,-2.168937498050405,0.2213367273299396,-2.168937498050414,0.221336727329944,-2.16893749805041
10.87,0.1994283072981447,-2.212917408921494,-1.135874427636426,-0.158494547093123,0.1994283072982396,-2.212917408922887,0.1994283072981483,-2.212917408921478,0.19942830729814,-2.212917408921502,0.1994283072981447,-2.212917408921494
