model,split,record,filename,temperature_c,amplitude_token,tau_s,dynamic_gain_ohm,n_score,s0,soc_min,soc_max,r0_min_ohm,r0_max_ohm,dynamic_correction_min_v,dynamic_correction_max_v,dynamic_correction_rms_mv,rmse_mv,mae_mv,max_abs_mv,bias_mv,nrmse
BATT4c_R0T_qtau20s_no_intercept,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,20.0,0.014949254974321502,37360,0.9727110925993573,0.09810928586897005,0.9727110925993573,0.07067874020544751,0.07067874020544751,-0.009411688456213752,0.03726303649378692,6.64820847423149,31.12670908652027,20.53402008082934,328.42547957300195,-3.531208557211017,0.48328769858112847
BATT4c_R0T_qtau20s_no_intercept,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,20.0,0.014949254974321502,37360,0.98,0.10636804492140428,0.98,0.12147634023036406,0.12147634023036406,-0.00954484101514372,0.03725949976990169,6.650643247053755,76.23344158079668,54.76002707890683,385.60040990131574,-6.127206153631721,0.44643376645970945
BATT4c_R0T_qtau20s_no_intercept,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,20.0,0.014949254974321502,37360,0.98,0.10588108887532754,0.98,0.12147634023036406,0.12147634023036406,-0.013824105449413494,0.037265838219210784,7.1457202806127444,81.89631709150282,59.2282986193409,370.8173998042814,-11.59493090853804,0.47105079276051115
BATT4c_R0T_qtau20s_no_intercept,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,20.0,0.014949254974321502,37360,0.987880517521542,0.11042228314591163,0.987880517521542,0.0019057820140706075,0.0019057820140706075,-0.013894396760737733,0.03727714868694337,7.173325473741116,12.287750738647938,8.180858706285505,224.39885139465332,-4.622288435635307,0.32584361683939733
BATT4c_R0T_qtau20s_no_intercept,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,20.0,0.014949254974321502,39460,0.98,0.15983632560968197,0.98,0.0019057820140706075,0.0019057820140706075,-0.04236227268095255,0.046957582228592185,10.673476503260131,19.64346915763581,10.712589246091289,261.43831964685836,-1.9448505991757228,0.43584068015926125
BATT4c_R0T_qtau20s_no_intercept,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,20.0,0.014949254974321502,47086,0.98,0.2143915247127619,0.98,0.0019057820140706075,0.0019057820140706075,-0.018290343274805068,0.025955824782712897,5.591319043197691,436.2850580136113,242.99041661352447,1315.4219994705272,231.7632521636066,1.094834511997106
BATT4c_R0T_qtau50s_no_intercept,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,50.0,0.016221295236863928,37360,0.98,0.10180357360222536,0.98,0.12147634023036406,0.12147634023036406,-0.0003704401930640056,0.0404437571745059,6.4547946985265865,85.10054085064476,56.93427848364996,389.9662758844316,7.227528037126539,0.459234476786444
BATT4c_R0T_qtau50s_no_intercept,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,50.0,0.016221295236863928,39005,0.8728629614415837,0.02059492947572994,0.8728629614415837,0.18621058056917605,0.18621058056917605,-0.00039997256564569935,0.04043986151034273,6.2569019549249285,95.46597958720652,78.94406284967837,410.9955136382819,8.089594491442728,0.27152206825730874
BATT4c_R0T_qtau50s_no_intercept,validation_temperature,A002_05_+35C,DYNdata/A002_DYN/A002_DYN_05_P35.mat,35,5,50.0,0.016221295236863928,37360,0.98,0.10327855413367737,0.98,0.006854743244735878,0.006854743244735878,-0.00037636220273239753,0.04041891900586222,6.450938285632061,13.573993235702568,10.169268496570062,241.07267976905166,-10.094418380170984,0.3690639101994439
BATT4c_R0T_qtau50s_no_intercept,train,A002_10_-5C,DYNdata/A002_DYN/A002_DYN_10_N05.mat,-5,10,50.0,0.016221295236863928,37360,0.9749747511731174,0.09384422383082491,0.9749747511731174,0.07067874020544751,0.07067874020544751,-0.00035484773144627045,0.04045474929907379,6.463323652569214,27.76658901272411,18.305935774684002,334.5286143696504,-4.565685192208199,0.44949448437929784
BATT4c_R0T_qtau50s_no_intercept,validation_temperature,A002_10_-15C,DYNdata/A002_DYN/A002_DYN_10_N15.mat,-15,10,50.0,0.016221295236863928,37360,0.98,0.1039873313569255,0.98,0.12147634023036406,0.12147634023036406,-0.0003281615867938309,0.04042968627432002,6.450239326337075,74.31767670768193,51.48860857146663,387.29369810562275,-4.033196213767988,0.4335363200334397
BATT4c_R0T_qtau50s_no_intercept,train,A002_10_+5C,DYNdata/A002_DYN/A002_DYN_10_P05.mat,5,10,50.0,0.016221295236863928,37360,0.9817458453334182,0.10735806057075226,0.9817458453334182,0.03381778049442643,0.03381778049442643,-0.0007313031247953417,0.04041328808875067,6.447933793341463,12.243553230772312,7.761505603226894,249.7063376889197,-4.629069068487516,0.303722032576451
BATT4c_R0T_qtau50s_no_intercept,train,A002_10_+15C,DYNdata/A002_DYN/A002_DYN_10_P15.mat,15,10,50.0,0.016221295236863928,37360,0.9809374736577922,0.10008527582713245,0.9809374736577922,0.010893461097300793,0.010893461097300793,-0.00035568865333367275,0.0404580870325371,6.467604639891212,9.8159011172311,5.107680730059027,253.5414695739746,-3.1722298119921457,0.25526684826423174
BATT4c_R0T_qtau50s_no_intercept,train,A002_10_+45C,DYNdata/A002_DYN/A002_DYN_10_P45.mat,45,10,50.0,0.016221295236863928,37360,0.9899999993016378,0.11181460578635716,0.9899999993016378,0.025740344789296613,0.025740344789296613,-0.00044601339864716886,0.040432900302296265,6.453064241003339,16.058263103097055,9.939954351618338,267.03423414991437,-9.505836591199468,0.41365821077820747
BATT4c_R0T_qtau50s_no_intercept,train,A002_15_-5C,DYNdata/A002_DYN/A002_DYN_15_N05.mat,-5,15,50.0,0.016221295236863928,37360,0.9727110925993573,0.09810928586897005,0.9727110925993573,0.07067874020544751,0.07067874020544751,-0.002670239028420166,0.04041955026694678,6.569604406295144,31.05456061874512,20.610152828429243,328.4199023111127,-3.7983169121913747,0.48216748806191534
BATT4c_R0T_qtau50s_no_intercept,validation_temperature,A002_15_-15C,DYNdata/A002_DYN/A002_DYN_15_N15.mat,-15,15,50.0,0.016221295236863928,37360,0.98,0.10636804492140428,0.98,0.12147634023036406,0.12147634023036406,-0.0027967226536907176,0.040422588516902135,6.571827605831828,76.25084732892489,54.949466538043765,385.5999698000199,-6.394386504332897,0.44653569697122514
BATT4c_R0T_qtau50s_no_intercept,validation_temperature,A002_20_-15C,DYNdata/A002_DYN/A002_DYN_20_N15.mat,-15,20,50.0,0.016221295236863928,37360,0.98,0.10588108887532754,0.98,0.12147634023036406,0.12147634023036406,-0.004974514180419229,0.04041986576182801,6.747766887703902,81.94574230847617,59.51160946927513,370.8088969652321,-11.862387371511636,0.4713350764556086
BATT4c_R0T_qtau50s_no_intercept,train,A002_20_+25C,DYNdata/A002_DYN/A002_DYN_20_P25.mat,25,20,50.0,0.016221295236863928,37360,0.987880517521542,0.11042228314591163,0.987880517521542,0.0019057820140706075,0.0019057820140706075,-0.004944170840644754,0.04043792106013103,6.763705686264852,12.842317549158565,8.68164068284455,224.39885139465332,-4.890181029977629,0.34054948605495033
BATT4c_R0T_qtau50s_no_intercept,test_high_amplitude,A002_50_+25C,DYNdata/A002_DYN/A002_DYN_50_P25.mat,25,50,50.0,0.016221295236863928,39460,0.98,0.15983632560968197,0.98,0.0019057820140706075,0.0019057820140706075,-0.020029168209677782,0.0258341927121438,7.155330848215367,21.539622091974323,11.994556888573317,261.43831964685836,-2.183994107881123,0.47791169001786504
BATT4c_R0T_qtau50s_no_intercept,test_cell_transfer,A003_25_+25C,DYNdata/A002_DYN/A003_DYN_25_P25.mat,25,25,50.0,0.016221295236863928,47086,0.98,0.2143915247127619,0.98,0.0019057820140706075,0.0019057820140706075,-0.007176979972631776,0.01854205188635981,4.492637145614436,436.28839473978826,243.20942558533312,1315.6169144063335,231.57688425849238,1.0948428853367573
BATT4c_R0T_qtau100s_no_intercept,validation_temperature,A002_05_-15C,DYNdata/A002_DYN/A002_DYN_05_N15.mat,-15,5,100.0,0.01689429189431583,37360,0.98,0.10180357360222536,0.98,0.12147634023036406,0.12147634023036406,-7.863835233116559e-05,0.04208022358786806,6.440656804669559,85.0488484888245,57.01209377889046,390.7109042890471,7.085322173327073,0.45895552538969503
BATT4c_R0T_qtau100s_no_intercept,train,A002_05_-25C,DYNdata/A002_DYN/A002_DYN_05_N25.mat,-25,5,100.0,0.01689429189431583,39005,0.8728629614415837,0.02059492947572994,0.8728629614415837,0.18621058056917605,0.18621058056917605,-7.50094784655479e-05,0.04208340085314312,6.233686718396116,95.48380169090444,78.99201756047087,410.9955136382819,7.957309715454923,0.2715727574607054
